"","firstname","sex","race","call_back"
"1230","Tamika","female","black","No"
"1231","Allison","female","white","No"
"1232","Latonya","female","black","No"
"1233","Meredith","female","white","No"
"1234","Tamika","female","black","No"
"1235","Leroy","male","black","No"
"1236","Matthew","male","white","No"
"1237","Neil","male","white","No"
"1238","Tyrone","male","black","No"
"1239","Meredith","female","white","No"
"1240","Tanisha","female","black","No"
"1241","Carrie","female","white","No"
"1242","Emily","female","white","No"
"1243","Keisha","female","black","No"
"1244","Lakisha","female","black","No"
"1245","Allison","female","white","No"
"1246","Ebony","female","black","No"
"1247","Latoya","female","black","No"
"1248","Laurie","female","white","No"
"1249","Allison","female","white","No"
"1250","Anne","female","white","No"
"1251","Brad","male","white","No"
"1252","Brett","male","white","No"
"1253","Darnell","male","black","No"
"1254","Darnell","male","black","Yes"
"1255","Darnell","male","black","No"
"1256","Ebony","female","black","No"
"1257","Emily","female","white","No"
"1258","Geoffrey","male","white","No"
"1259","Geoffrey","male","white","No"
"1260","Jay","male","white","No"
"1261","Jermaine","male","black","No"
"1262","Jill","female","white","No"
"1263","Keisha","female","black","Yes"
"1264","Keisha","female","black","No"
"1265","Lakisha","female","black","No"
"1266","Latonya","female","black","No"
"1267","Latoya","female","black","No"
"1268","Meredith","female","white","No"
"1269","Meredith","female","white","No"
"1270","Neil","male","white","No"
"1271","Rasheed","male","black","No"
"1272","Todd","male","white","No"
"1273","Todd","male","white","No"
"1274","Tremayne","male","black","No"
"1275","Tyrone","male","black","No"
"1276","Tyrone","male","black","No"
"1277","Emily","female","white","No"
"1278","Lakisha","female","black","No"
"1279","Sarah","female","white","Yes"
"1280","Tanisha","female","black","No"
"1281","Allison","female","white","No"
"1282","Kenya","female","black","No"
"1283","Latonya","female","black","No"
"1284","Meredith","female","white","Yes"
"1285","Anne","female","white","No"
"1286","Ebony","female","black","No"
"1287","Emily","female","white","No"
"1288","Tamika","female","black","No"
"1289","Anne","female","white","No"
"1290","Kenya","female","black","No"
"1291","Latonya","female","black","No"
"1292","Sarah","female","white","No"
"1293","Ebony","female","black","No"
"1294","Kristen","female","white","No"
"1295","Laurie","female","white","No"
"1296","Tamika","female","black","No"
"1297","Allison","female","white","No"
"1298","Jill","female","white","No"
"1299","Kenya","female","black","No"
"1300","Lakisha","female","black","No"
"1301","Anne","female","white","Yes"
"1302","Emily","female","white","No"
"1303","Kenya","female","black","No"
"1304","Latoya","female","black","No"
"1305","Ebony","female","black","No"
"1306","Emily","female","white","No"
"1307","Jill","female","white","No"
"1308","Tamika","female","black","No"
"1309","Allison","female","white","Yes"
"1310","Hakim","male","black","Yes"
"1311","Jamal","male","black","Yes"
"1312","Jay","male","white","Yes"
"1313","Anne","female","white","No"
"1314","Emily","female","white","No"
"1315","Lakisha","female","black","No"
"1316","Latonya","female","black","No"
"1317","Anne","female","white","No"
"1318","Ebony","female","black","No"
"1319","Sarah","female","white","No"
"1320","Tanisha","female","black","No"
"1321","Laurie","female","white","No"
"1322","Tamika","female","black","No"
"1323","Emily","female","white","No"
"1324","Keisha","female","black","No"
"1325","Latoya","female","black","No"
"1326","Meredith","female","white","No"
"1327","Kristen","female","white","No"
"1328","Latoya","female","black","No"
"1329","Meredith","female","white","No"
"1330","Tanisha","female","black","No"
"1331","Anne","female","white","Yes"
"1332","Kenya","female","black","Yes"
"1333","Sarah","female","white","Yes"
"1334","Tanisha","female","black","Yes"
"1335","Carrie","female","white","No"
"1336","Emily","female","white","No"
"1337","Keisha","female","black","No"
"1338","Kenya","female","black","No"
"1339","Anne","female","white","No"
"1340","Emily","female","white","No"
"1341","Keisha","female","black","No"
"1342","Tanisha","female","black","No"
"1343","Emily","female","white","No"
"1344","Kenya","female","black","No"
"1345","Latonya","female","black","No"
"1346","Sarah","female","white","No"
"1347","Emily","female","white","No"
"1348","Latonya","female","black","No"
"1349","Latoya","female","black","No"
"1350","Sarah","female","white","No"
"1351","Emily","female","white","No"
"1352","Jill","female","white","No"
"1353","Lakisha","female","black","No"
"1354","Latonya","female","black","No"
"1355","Anne","female","white","No"
"1356","Ebony","female","black","No"
"1357","Latoya","female","black","No"
"1358","Meredith","female","white","No"
"1359","Allison","female","white","No"
"1360","Ebony","female","black","No"
"1361","Emily","female","white","No"
"1362","Latoya","female","black","No"
"1363","Anne","female","white","No"
"1364","Emily","female","white","No"
"1365","Keisha","female","black","No"
"1366","Tamika","female","black","No"
"1367","Jill","female","white","No"
"1368","Lakisha","female","black","No"
"1369","Sarah","female","white","No"
"1370","Tamika","female","black","No"
"1371","Carrie","female","white","Yes"
"1372","Lakisha","female","black","No"
"1373","Laurie","female","white","No"
"1374","Tanisha","female","black","No"
"1375","Aisha","female","black","No"
"1376","Aisha","female","black","No"
"1377","Aisha","female","black","No"
"1378","Anne","female","white","No"
"1379","Brad","male","white","No"
"1380","Brad","male","white","No"
"1381","Carrie","female","white","No"
"1382","Carrie","female","white","No"
"1383","Emily","female","white","No"
"1384","Geoffrey","male","white","No"
"1385","Hakim","male","black","No"
"1386","Jay","male","white","No"
"1387","Jermaine","male","black","No"
"1388","Keisha","female","black","No"
"1389","Kenya","female","black","No"
"1390","Kristen","female","white","No"
"1391","Kristen","female","white","No"
"1392","Kristen","female","white","No"
"1393","Lakisha","female","black","No"
"1394","Lakisha","female","black","No"
"1395","Latonya","female","black","No"
"1396","Latoya","female","black","No"
"1397","Leroy","male","black","No"
"1398","Matthew","male","white","No"
"1399","Matthew","male","white","No"
"1400","Neil","male","white","No"
"1401","Rasheed","male","black","No"
"1402","Sarah","female","white","No"
"1403","Todd","male","white","No"
"1404","Tremayne","male","black","No"
"1405","Tremayne","male","black","No"
"1406","Tyrone","male","black","No"
"1407","Latoya","female","black","Yes"
"1408","Meredith","female","white","Yes"
"1409","Sarah","female","white","Yes"
"1410","Tanisha","female","black","Yes"
"1411","Jill","female","white","Yes"
"1412","Kristen","female","white","No"
"1413","Tamika","female","black","No"
"1414","Tanisha","female","black","No"
"1415","Anne","female","white","No"
"1416","Ebony","female","black","No"
"1417","Lakisha","female","black","No"
"1418","Laurie","female","white","No"
"1419","Allison","female","white","No"
"1420","Emily","female","white","No"
"1421","Kenya","female","black","No"
"1422","Tamika","female","black","No"
"1423","Latonya","female","black","No"
"1424","Laurie","female","white","No"
"1425","Meredith","female","white","No"
"1426","Tamika","female","black","No"
"1427","Kristen","female","white","No"
"1428","Latonya","female","black","No"
"1429","Sarah","female","white","No"
"1430","Tanisha","female","black","No"
"1431","Allison","female","white","Yes"
"1432","Anne","female","white","No"
"1433","Lakisha","female","black","No"
"1434","Tamika","female","black","No"
"1435","Anne","female","white","Yes"
"1436","Emily","female","white","Yes"
"1437","Lakisha","female","black","No"
"1438","Latoya","female","black","No"
"1439","Carrie","female","white","No"
"1440","Ebony","female","black","No"
"1441","Laurie","female","white","No"
"1442","Tanisha","female","black","No"
"1443","Carrie","female","white","Yes"
"1444","Ebony","female","black","No"
"1445","Kristen","female","white","Yes"
"1446","Tanisha","female","black","No"
"1447","Jill","female","white","Yes"
"1448","Lakisha","female","black","Yes"
"1449","Aisha","female","black","No"
"1450","Anne","female","white","No"
"1451","Jill","female","white","No"
"1452","Tamika","female","black","No"
"1453","Aisha","female","black","No"
"1454","Allison","female","white","No"
"1455","Carrie","female","white","No"
"1456","Latoya","female","black","No"
"1457","Anne","female","white","No"
"1458","Emily","female","white","No"
"1459","Latoya","female","black","No"
"1460","Tamika","female","black","No"
"1461","Anne","female","white","No"
"1462","Emily","female","white","No"
"1463","Kenya","female","black","No"
"1464","Latoya","female","black","No"
"1465","Carrie","female","white","No"
"1466","Emily","female","white","No"
"1467","Keisha","female","black","No"
"1468","Tamika","female","black","No"
"1469","Anne","female","white","No"
"1470","Lakisha","female","black","No"
"1471","Latonya","female","black","No"
"1472","Meredith","female","white","No"
"1473","Anne","female","white","No"
"1474","Kenya","female","black","No"
"1475","Kristen","female","white","No"
"1476","Latoya","female","black","No"
"1477","Kristen","female","white","No"
"1478","Latoya","female","black","No"
"1479","Aisha","female","black","No"
"1480","Jill","female","white","No"
"1481","Kristen","female","white","No"
"1482","Lakisha","female","black","No"
"1483","Anne","female","white","No"
"1484","Kenya","female","black","No"
"1485","Kristen","female","white","No"
"1486","Tamika","female","black","No"
"1487","Allison","female","white","No"
"1488","Keisha","female","black","No"
"1489","Kenya","female","black","No"
"1490","Sarah","female","white","No"
"1491","Brendan","male","white","No"
"1492","Brett","male","white","No"
"1493","Jermaine","male","black","No"
"1494","Tyrone","male","black","No"
"1495","Jill","female","white","Yes"
"1496","Kenya","female","black","No"
"1497","Latoya","female","black","No"
"1498","Laurie","female","white","Yes"
"1499","Keisha","female","black","No"
"1500","Lakisha","female","black","No"
"1501","Laurie","female","white","No"
"1502","Sarah","female","white","No"
"1503","Emily","female","white","No"
"1504","Kenya","female","black","No"
"1505","Kenya","female","black","No"
"1506","Lakisha","female","black","No"
"1507","Laurie","female","white","No"
"1508","Sarah","female","white","No"
"1509","Anne","female","white","No"
"1510","Lakisha","female","black","No"
"1511","Latonya","female","black","No"
"1512","Meredith","female","white","No"
"1513","Ebony","female","black","No"
"1514","Kristen","female","white","No"
"1515","Latonya","female","black","No"
"1516","Meredith","female","white","No"
"1517","Aisha","female","black","No"
"1518","Aisha","female","black","No"
"1519","Aisha","female","black","No"
"1520","Brad","male","white","Yes"
"1521","Brad","male","white","No"
"1522","Brendan","male","white","No"
"1523","Brendan","male","white","No"
"1524","Brett","male","white","Yes"
"1525","Carrie","female","white","No"
"1526","Hakim","male","black","No"
"1527","Jay","male","white","No"
"1528","Kareem","male","black","No"
"1529","Kenya","female","black","Yes"
"1530","Kristen","female","white","No"
"1531","Lakisha","female","black","No"
"1532","Lakisha","female","black","No"
"1533","Latonya","female","black","Yes"
"1534","Leroy","male","black","No"
"1535","Leroy","male","black","No"
"1536","Matthew","male","white","No"
"1537","Matthew","male","white","No"
"1538","Neil","male","white","No"
"1539","Neil","male","white","No"
"1540","Neil","male","white","No"
"1541","Sarah","female","white","No"
"1542","Tremayne","male","black","No"
"1543","Tyrone","male","black","No"
"1544","Tyrone","male","black","No"
"1545","Anne","female","white","No"
"1546","Lakisha","female","black","No"
"1547","Latoya","female","black","No"
"1548","Sarah","female","white","Yes"
"1549","Aisha","female","black","No"
"1550","Anne","female","white","No"
"1551","Sarah","female","white","No"
"1552","Tanisha","female","black","No"
"1553","Carrie","female","white","No"
"1554","Ebony","female","black","No"
"1555","Kenya","female","black","No"
"1556","Kristen","female","white","No"
"1557","Aisha","female","black","No"
"1558","Allison","female","white","No"
"1559","Ebony","female","black","Yes"
"1560","Jill","female","white","No"
"1561","Allison","female","white","No"
"1562","Emily","female","white","Yes"
"1563","Latoya","female","black","No"
"1564","Tamika","female","black","Yes"
"1565","Aisha","female","black","No"
"1566","Carrie","female","white","Yes"
"1567","Jill","female","white","Yes"
"1568","Latonya","female","black","No"
"1569","Kenya","female","black","No"
"1570","Kristen","female","white","No"
"1571","Latoya","female","black","No"
"1572","Sarah","female","white","No"
"1573","Emily","female","white","No"
"1574","Jill","female","white","Yes"
"1575","Kenya","female","black","No"
"1576","Latoya","female","black","No"
"1577","Emily","female","white","Yes"
"1578","Kenya","female","black","No"
"1579","Lakisha","female","black","No"
"1580","Sarah","female","white","No"
"1581","Brad","male","white","Yes"
"1582","Hakim","male","black","Yes"
"1583","Todd","male","white","Yes"
"1584","Tremayne","male","black","Yes"
"1585","Anne","female","white","No"
"1586","Kenya","female","black","No"
"1587","Kristen","female","white","No"
"1588","Latonya","female","black","No"
"1589","Allison","female","white","No"
"1590","Keisha","female","black","Yes"
"1591","Kristen","female","white","No"
"1592","Tamika","female","black","No"
"1593","Jill","female","white","No"
"1594","Kristen","female","white","No"
"1595","Latoya","female","black","No"
"1596","Tamika","female","black","No"
"1597","Allison","female","white","No"
"1598","Latonya","female","black","No"
"1599","Meredith","female","white","No"
"1600","Tamika","female","black","No"
"1601","Aisha","female","black","No"
"1602","Emily","female","white","No"
"1603","Laurie","female","white","No"
"1604","Tanisha","female","black","No"
"1605","Jill","female","white","No"
"1606","Kenya","female","black","No"
"1607","Latonya","female","black","No"
"1608","Meredith","female","white","No"
"1609","Carrie","female","white","No"
"1610","Ebony","female","black","No"
"1611","Latonya","female","black","No"
"1612","Sarah","female","white","No"
"1613","Kristen","female","white","No"
"1614","Latoya","female","black","No"
"1615","Laurie","female","white","No"
"1616","Tamika","female","black","No"
"1617","Kenya","female","black","No"
"1618","Kristen","female","white","No"
"1619","Laurie","female","white","No"
"1620","Tamika","female","black","No"
"1621","Anne","female","white","No"
"1622","Ebony","female","black","No"
"1623","Jill","female","white","No"
"1624","Latonya","female","black","No"
"1625","Anne","female","white","No"
"1626","Kenya","female","black","No"
"1627","Latonya","female","black","No"
"1628","Meredith","female","white","No"
"1629","Anne","female","white","No"
"1630","Keisha","female","black","No"
"1631","Kristen","female","white","No"
"1632","Latonya","female","black","No"
"1633","Carrie","female","white","No"
"1634","Ebony","female","black","No"
"1635","Emily","female","white","No"
"1636","Tamika","female","black","No"
"1637","Brett","male","white","No"
"1638","Neil","male","white","No"
"1639","Rasheed","male","black","No"
"1640","Tyrone","male","black","No"
"1641","Brendan","male","white","No"
"1642","Jamal","male","black","No"
"1643","Aisha","female","black","No"
"1644","Allison","female","white","No"
"1645","Carrie","female","white","No"
"1646","Latoya","female","black","No"
"1647","Aisha","female","black","No"
"1648","Allison","female","white","No"
"1649","Jill","female","white","No"
"1650","Tamika","female","black","No"
"1651","Jill","female","white","No"
"1652","Keisha","female","black","No"
"1653","Kristen","female","white","No"
"1654","Tamika","female","black","No"
"1655","Allison","female","white","No"
"1656","Anne","female","white","No"
"1657","Brad","male","white","No"
"1658","Brett","male","white","No"
"1659","Ebony","female","black","No"
"1660","Emily","female","white","No"
"1661","Geoffrey","male","white","No"
"1662","Geoffrey","male","white","No"
"1663","Jay","male","white","No"
"1664","Kareem","male","black","No"
"1665","Kareem","male","black","No"
"1666","Keisha","female","black","No"
"1667","Keisha","female","black","No"
"1668","Kenya","female","black","No"
"1669","Kenya","female","black","No"
"1670","Kristen","female","white","No"
"1671","Laurie","female","white","No"
"1672","Laurie","female","white","No"
"1673","Leroy","male","black","No"
"1674","Leroy","male","black","No"
"1675","Leroy","male","black","No"
"1676","Matthew","male","white","No"
"1677","Meredith","female","white","No"
"1678","Rasheed","male","black","No"
"1679","Sarah","female","white","No"
"1680","Tanisha","female","black","No"
"1681","Tyrone","male","black","No"
"1682","Tyrone","male","black","No"
"1683","Carrie","female","white","No"
"1684","Laurie","female","white","No"
"1685","Tamika","female","black","No"
"1686","Tanisha","female","black","No"
"1687","Allison","female","white","Yes"
"1688","Ebony","female","black","No"
"1689","Emily","female","white","No"
"1690","Latoya","female","black","No"
"1691","Allison","female","white","No"
"1692","Emily","female","white","No"
"1693","Kenya","female","black","No"
"1694","Lakisha","female","black","No"
"1695","Carrie","female","white","Yes"
"1696","Latoya","female","black","Yes"
"1697","Sarah","female","white","Yes"
"1698","Tamika","female","black","No"
"1699","Aisha","female","black","No"
"1700","Anne","female","white","No"
"1701","Jill","female","white","No"
"1702","Latoya","female","black","Yes"
"1703","Ebony","female","black","No"
"1704","Emily","female","white","No"
"1705","Kristen","female","white","No"
"1706","Lakisha","female","black","No"
"1707","Anne","female","white","No"
"1708","Lakisha","female","black","No"
"1709","Sarah","female","white","No"
"1710","Tanisha","female","black","No"
"1711","Ebony","female","black","No"
"1712","Jill","female","white","Yes"
"1713","Kristen","female","white","Yes"
"1714","Tanisha","female","black","No"
"1715","Carrie","female","white","No"
"1716","Jill","female","white","Yes"
"1717","Keisha","female","black","No"
"1718","Lakisha","female","black","Yes"
"1719","Geoffrey","male","white","No"
"1720","Kenya","female","black","No"
"1721","Laurie","female","white","No"
"1722","Tamika","female","black","No"
"1723","Emily","female","white","No"
"1724","Latonya","female","black","No"
"1725","Laurie","female","white","No"
"1726","Tamika","female","black","No"
"1727","Allison","female","white","No"
"1728","Lakisha","female","black","No"
"1729","Lakisha","female","black","No"
"1730","Meredith","female","white","No"
"1731","Sarah","female","white","No"
"1732","Tanisha","female","black","No"
"1733","Allison","female","white","No"
"1734","Anne","female","white","No"
"1735","Ebony","female","black","No"
"1736","Latoya","female","black","No"
"1737","Aisha","female","black","No"
"1738","Anne","female","white","Yes"
"1739","Jill","female","white","No"
"1740","Tanisha","female","black","No"
"1741","Brendan","male","white","Yes"
"1742","Keisha","female","black","No"
"1743","Kenya","female","black","No"
"1744","Sarah","female","white","Yes"
"1745","Todd","male","white","No"
"1746","Tyrone","male","black","No"
"1747","Emily","female","white","No"
"1748","Latonya","female","black","No"
"1749","Jill","female","white","No"
"1750","Kenya","female","black","No"
"1751","Sarah","female","white","No"
"1752","Tanisha","female","black","No"
"1753","Jill","female","white","No"
"1754","Lakisha","female","black","No"
"1755","Latoya","female","black","No"
"1756","Neil","male","white","No"
"1757","Keisha","female","black","No"
"1758","Laurie","female","white","No"
"1759","Allison","female","white","No"
"1760","Ebony","female","black","No"
"1761","Emily","female","white","No"
"1762","Latonya","female","black","No"
"1763","Allison","female","white","No"
"1764","Jill","female","white","No"
"1765","Keisha","female","black","No"
"1766","Kristen","female","white","No"
"1767","Latoya","female","black","No"
"1768","Rasheed","male","black","No"
"1769","Aisha","female","black","No"
"1770","Allison","female","white","No"
"1771","Latoya","female","black","No"
"1772","Sarah","female","white","No"
"1773","Brendan","male","white","No"
"1774","Emily","female","white","No"
"1775","Keisha","female","black","No"
"1776","Kenya","female","black","No"
"1777","Lakisha","female","black","No"
"1778","Sarah","female","white","No"
"1779","Aisha","female","black","No"
"1780","Aisha","female","black","No"
"1781","Anne","female","white","No"
"1782","Carrie","female","white","No"
"1783","Emily","female","white","No"
"1784","Kenya","female","black","No"
"1785","Kenya","female","black","No"
"1786","Kristen","female","white","No"
"1787","Meredith","female","white","No"
"1788","Tanisha","female","black","No"
"1789","Allison","female","white","No"
"1790","Emily","female","white","No"
"1791","Kenya","female","black","No"
"1792","Tamika","female","black","No"
"1793","Brett","male","white","No"
"1794","Hakim","male","black","No"
"1795","Jill","female","white","No"
"1796","Jill","female","white","No"
"1797","Matthew","male","white","No"
"1798","Tamika","female","black","No"
"1799","Tanisha","female","black","No"
"1800","Tyrone","male","black","No"
"1801","Jill","female","white","No"
"1802","Tamika","female","black","No"
"1803","Anne","female","white","No"
"1804","Latonya","female","black","No"
"1805","Latoya","female","black","No"
"1806","Sarah","female","white","No"
"1807","Allison","female","white","No"
"1808","Ebony","female","black","No"
"1809","Emily","female","white","No"
"1810","Jill","female","white","No"
"1811","Kenya","female","black","No"
"1812","Laurie","female","white","No"
"1813","Tamika","female","black","No"
"1814","Tanisha","female","black","No"
"1815","Emily","female","white","Yes"
"1816","Kenya","female","black","Yes"
"1817","Lakisha","female","black","No"
"1818","Todd","male","white","No"
"1819","Aisha","female","black","No"
"1820","Jill","female","white","No"
"1821","Lakisha","female","black","No"
"1822","Matthew","male","white","No"
"1823","Lakisha","female","black","No"
"1824","Matthew","male","white","No"
"1825","Brad","male","white","No"
"1826","Tamika","female","black","No"
"1827","Anne","female","white","No"
"1828","Keisha","female","black","No"
"1829","Kristen","female","white","No"
"1830","Lakisha","female","black","No"
"1831","Allison","female","white","No"
"1832","Emily","female","white","No"
"1833","Sarah","female","white","No"
"1834","Tamika","female","black","No"
"1835","Tamika","female","black","No"
"1836","Tanisha","female","black","No"
"1837","Geoffrey","male","white","No"
"1838","Jill","female","white","No"
"1839","Keisha","female","black","No"
"1840","Kristen","female","white","No"
"1841","Tamika","female","black","No"
"1842","Tanisha","female","black","No"
"1843","Allison","female","white","No"
"1844","Anne","female","white","No"
"1845","Keisha","female","black","No"
"1846","Kristen","female","white","Yes"
"1847","Lakisha","female","black","No"
"1848","Latoya","female","black","No"
"1849","Carrie","female","white","No"
"1850","Keisha","female","black","No"
"1851","Kenya","female","black","No"
"1852","Leroy","male","black","No"
"1853","Neil","male","white","No"
"1854","Sarah","female","white","No"
"1855","Anne","female","white","No"
"1856","Emily","female","white","No"
"1857","Keisha","female","black","No"
"1858","Latonya","female","black","No"
"1859","Laurie","female","white","No"
"1860","Tanisha","female","black","No"
"1861","Allison","female","white","No"
"1862","Kenya","female","black","No"
"1863","Latonya","female","black","No"
"1864","Leroy","male","black","No"
"1865","Meredith","female","white","No"
"1866","Todd","male","white","No"
"1867","Kenya","female","black","No"
"1868","Todd","male","white","No"
"1869","Emily","female","white","No"
"1870","Latonya","female","black","No"
"1871","Laurie","female","white","No"
"1872","Tamika","female","black","No"
"1873","Allison","female","white","No"
"1874","Carrie","female","white","No"
"1875","Kristen","female","white","No"
"1876","Lakisha","female","black","No"
"1877","Latonya","female","black","No"
"1878","Tyrone","male","black","No"
"1879","Aisha","female","black","No"
"1880","Aisha","female","black","No"
"1881","Emily","female","white","No"
"1882","Emily","female","white","No"
"1883","Keisha","female","black","No"
"1884","Keisha","female","black","No"
"1885","Matthew","male","white","No"
"1886","Sarah","female","white","No"
"1887","Anne","female","white","No"
"1888","Brad","male","white","Yes"
"1889","Hakim","male","black","No"
"1890","Kenya","female","black","No"
"1891","Kenya","female","black","Yes"
"1892","Latoya","female","black","No"
"1893","Meredith","female","white","Yes"
"1894","Meredith","female","white","No"
"1895","Aisha","female","black","No"
"1896","Brad","male","white","No"
"1897","Brad","male","white","No"
"1898","Carrie","female","white","No"
"1899","Darnell","male","black","No"
"1900","Ebony","female","black","No"
"1901","Emily","female","white","No"
"1902","Geoffrey","male","white","No"
"1903","Greg","male","white","No"
"1904","Hakim","male","black","No"
"1905","Jamal","male","black","No"
"1906","Jill","female","white","No"
"1907","Keisha","female","black","No"
"1908","Kenya","female","black","No"
"1909","Latonya","female","black","No"
"1910","Latoya","female","black","No"
"1911","Leroy","male","black","No"
"1912","Matthew","male","white","Yes"
"1913","Matthew","male","white","No"
"1914","Matthew","male","white","No"
"1915","Matthew","male","white","No"
"1916","Rasheed","male","black","Yes"
"1917","Todd","male","white","No"
"1918","Tremayne","male","black","No"
"1919","Anne","female","white","No"
"1920","Kenya","female","black","No"
"1921","Meredith","female","white","No"
"1922","Tamika","female","black","No"
"1923","Anne","female","white","No"
"1924","Kenya","female","black","No"
"1925","Meredith","female","white","No"
"1926","Tamika","female","black","No"
"1927","Ebony","female","black","No"
"1928","Kristen","female","white","No"
"1929","Latonya","female","black","No"
"1930","Laurie","female","white","No"
"1931","Emily","female","white","No"
"1932","Jill","female","white","No"
"1933","Latoya","female","black","No"
"1934","Tanisha","female","black","No"
"1935","Keisha","female","black","Yes"
"1936","Kristen","female","white","Yes"
"1937","Sarah","female","white","No"
"1938","Tamika","female","black","Yes"
"1939","Emily","female","white","No"
"1940","Latoya","female","black","No"
"1941","Jill","female","white","No"
"1942","Lakisha","female","black","No"
"1943","Meredith","female","white","No"
"1944","Tanisha","female","black","No"
"1945","Anne","female","white","No"
"1946","Latoya","female","black","No"
"1947","Sarah","female","white","No"
"1948","Tanisha","female","black","No"
"1949","Jill","female","white","No"
"1950","Lakisha","female","black","No"
"1951","Laurie","female","white","Yes"
"1952","Tamika","female","black","Yes"
"1953","Allison","female","white","No"
"1954","Kenya","female","black","No"
"1955","Lakisha","female","black","No"
"1956","Laurie","female","white","No"
"1957","Allison","female","white","No"
"1958","Anne","female","white","No"
"1959","Ebony","female","black","No"
"1960","Kenya","female","black","No"
"1961","Ebony","female","black","Yes"
"1962","Jill","female","white","No"
"1963","Laurie","female","white","No"
"1964","Tamika","female","black","No"
"1965","Emily","female","white","No"
"1966","Keisha","female","black","No"
"1967","Kenya","female","black","No"
"1968","Sarah","female","white","No"
"1969","Hakim","male","black","No"
"1970","Leroy","male","black","Yes"
"1971","Neil","male","white","No"
"1972","Todd","male","white","No"
"1973","Jill","female","white","No"
"1974","Keisha","female","black","No"
"1975","Meredith","female","white","No"
"1976","Tamika","female","black","No"
"1977","Anne","female","white","No"
"1978","Ebony","female","black","Yes"
"1979","Jill","female","white","No"
"1980","Tamika","female","black","No"
"1981","Aisha","female","black","No"
"1982","Anne","female","white","No"
"1983","Kenya","female","black","No"
"1984","Kristen","female","white","No"
"1985","Aisha","female","black","No"
"1986","Brad","male","white","Yes"
"1987","Brendan","male","white","No"
"1988","Brendan","male","white","No"
"1989","Brett","male","white","No"
"1990","Carrie","female","white","No"
"1991","Ebony","female","black","No"
"1992","Geoffrey","male","white","No"
"1993","Jamal","male","black","No"
"1994","Jay","male","white","No"
"1995","Kareem","male","black","No"
"1996","Kenya","female","black","No"
"1997","Kenya","female","black","No"
"1998","Lakisha","female","black","No"
"1999","Neil","male","white","No"
"2000","Sarah","female","white","No"
"2001","Tanisha","female","black","No"
"2002","Todd","male","white","No"
"2003","Tyrone","male","black","No"
"2004","Tyrone","male","black","No"
"2005","Emily","female","white","No"
"2006","Lakisha","female","black","No"
"2007","Sarah","female","white","No"
"2008","Tanisha","female","black","No"
"2009","Jill","female","white","Yes"
"2010","Latonya","female","black","Yes"
"2011","Latoya","female","black","Yes"
"2012","Sarah","female","white","No"
"2013","Keisha","female","black","No"
"2014","Kristen","female","white","Yes"
"2015","Latoya","female","black","No"
"2016","Sarah","female","white","No"
"2017","Jill","female","white","No"
"2018","Leroy","male","black","No"
"2019","Meredith","female","white","No"
"2020","Tanisha","female","black","No"
"2021","Emily","female","white","No"
"2022","Latonya","female","black","No"
"2023","Laurie","female","white","No"
"2024","Tamika","female","black","No"
"2025","Ebony","female","black","No"
"2026","Emily","female","white","No"
"2027","Sarah","female","white","Yes"
"2028","Tamika","female","black","No"
"2029","Aisha","female","black","No"
"2030","Emily","female","white","No"
"2031","Kristen","female","white","No"
"2032","Tanisha","female","black","No"
"2033","Ebony","female","black","No"
"2034","Latonya","female","black","No"
"2035","Meredith","female","white","No"
"2036","Sarah","female","white","No"
"2037","Kristen","female","white","No"
"2038","Latonya","female","black","No"
"2039","Meredith","female","white","No"
"2040","Tamika","female","black","No"
"2041","Allison","female","white","No"
"2042","Anne","female","white","No"
"2043","Lakisha","female","black","No"
"2044","Tamika","female","black","No"
"2045","Allison","female","white","No"
"2046","Latonya","female","black","No"
"2047","Laurie","female","white","No"
"2048","Tamika","female","black","No"
"2049","Jill","female","white","No"
"2050","Kenya","female","black","No"
"2051","Sarah","female","white","No"
"2052","Tamika","female","black","No"
"2053","Anne","female","white","No"
"2054","Lakisha","female","black","No"
"2055","Sarah","female","white","No"
"2056","Tamika","female","black","No"
"2057","Emily","female","white","No"
"2058","Lakisha","female","black","No"
"2059","Latoya","female","black","No"
"2060","Meredith","female","white","No"
"2061","Aisha","female","black","No"
"2062","Brendan","male","white","No"
"2063","Brett","male","white","No"
"2064","Darnell","male","black","No"
"2065","Geoffrey","male","white","No"
"2066","Greg","male","white","No"
"2067","Jay","male","white","No"
"2068","Jermaine","male","black","No"
"2069","Jill","female","white","No"
"2070","Keisha","female","black","No"
"2071","Kristen","female","white","No"
"2072","Kristen","female","white","No"
"2073","Lakisha","female","black","No"
"2074","Laurie","female","white","No"
"2075","Leroy","male","black","No"
"2076","Leroy","male","black","No"
"2077","Leroy","male","black","No"
"2078","Matthew","male","white","No"
"2079","Neil","male","white","No"
"2080","Neil","male","white","No"
"2081","Tamika","female","black","No"
"2082","Tyrone","male","black","No"
"2083","Tyrone","male","black","No"
"2084","Tyrone","male","black","No"
"2085","Anne","female","white","No"
"2086","Carrie","female","white","No"
"2087","Keisha","female","black","No"
"2088","Latoya","female","black","No"
"2089","Anne","female","white","No"
"2090","Jill","female","white","No"
"2091","Latonya","female","black","No"
"2092","Tanisha","female","black","No"
"2093","Anne","female","white","Yes"
"2094","Lakisha","female","black","Yes"
"2095","Sarah","female","white","No"
"2096","Tanisha","female","black","No"
"2097","Allison","female","white","Yes"
"2098","Carrie","female","white","Yes"
